vessel_name,                  param_name,       param_type,       min,        max,    name_for_plotting
NES,EC50_beta2,        const,10,1000,EC50_{beta2}
NES,EC50_Gs,        const,0.01,1000,EC50_{Gs}
NES,EC50_cAMP,        const,0.1,100,EC50_{cAMP}
