Value,Cost,Param1,Param2
481.74543072,1.10053786216829,2.31555872,365.06639599
495.12724824,1.09343052618863,2.24069141,336.52304078
508.50906576,1.08690693635623,2.17087618,309.1531027
521.89088328,1.08102998724553,2.10447373,282.0789856
535.2727008,1.07585750305095,2.04166904,259.24547905
548.65451832,1.07144282875932,1.98088921,237.19603278
562.03633584,1.06783437279493,1.92480303,217.08234486
575.41815336,1.06507516361676,1.86937915,198.57412248
588.79997088,1.06320399777637,1.81888106,180.61726469
602.1817884,1.06225300804077,1.76889754,165.26055448
615.56360592,1.06225138480208,1.72109246,150.45907333
628.94542344,1.0632211937211,1.67737023,136.43193209
642.32724096,1.06518051366429,1.63448392,124.75802049
655.70905848,1.06814155055729,1.59309528,112.99836558
669.090876,1.07211274136449,1.55473762,101.98211595
682.47269352,1.07709617778399,1.51657257,92.32594394
695.85451104,1.0830902801404,1.48060365,83.40886951
709.23632856,1.09008640962673,1.44783082,75.17515022
722.61814608,1.09807369786286,1.41533393,67.18935408
735.9999636,1.10703534164473,1.38412571,60.4099364
749.38178112,1.11694838488828,1.35535624,53.61780709
762.76359864,1.12778705684845,1.32740642,47.40881576
776.14541616,1.13951720830462,1.30141731,42.16607097
789.52723368,1.15210056323109,1.27658218,36.99244224
802.9090512,1.16548936733707,1.25334668,31.95227029
816.29086872,1.17962298018074,1.23259023,27.56607503
829.67268624,1.19442026113317,1.2134641,23.21957314
843.05450376,1.20974979117706,1.19929201,18.62181348
856.43632128,1.20804343144412,1.71564323,1.71649381
