Value,Cost,Param1,Param2
594.2903323608,0.0798010293847078,374.99350573,
610.7983971486,0.0678704420089931,398.83808561,
627.3064619364,0.0577922114423867,422.93466079,
643.8145267242,0.0493118434249836,447.25673622,
660.322591512,0.0422127694074505,471.79284809,
676.8306562998,0.0363101617348169,496.51654535,
693.3387210876,0.0314458368493878,521.41999532,
709.8467858754,0.0274840441748973,546.48561621,
726.3548506632,0.024307976474649,571.70218724,
742.862915451,0.0218168698355279,597.05788503,
759.3709802388,0.0199235866626694,622.53971609,
775.8790450266,0.0185525952605142,648.14228743,
792.3871098144,0.0176382762854134,673.85953668,
808.8951746022,0.0171234991667183,699.67772912,
825.40323939,0.0169584214146769,725.59121889,
841.9113041778,0.0170994739238025,751.58647562,
858.4193689656,0.0175085012520949,777.67470045,
874.9274337534,0.0181520297268348,803.82320856,
891.4354985412,0.0190006441648743,830.06278742,
907.943563329,0.0200284569933225,856.36522064,
924.4516281168,0.0212126502807796,882.72826371,
940.9596929046,0.0225330852875169,909.15109427,
957.4677576924,0.0239719652316542,935.6317301,
973.9758224802,0.0255135444714129,962.16073384,
990.483887268,0.0271438774506001,988.73963023,
1006.9919520558,0.0288506006845708,1015.36589762,
1023.5000168436,0.0306227438048798,1042.03891436,
1040.0080816314,0.0324505650854727,1068.75375311,
1056.5161464192,0.0343254078904754,1095.49685466,
