Value,Cost,Param1,Param2,,
398.29157496,1.14480396169932,142.59517,0.01,1358.34788,0.867396811
409.35522982,1.14479851468493,140.88216,0.01,339.423476,0.472382297
420.41888468,1.14477443652713,140.730495,0.01,355.634086,0.495471518
431.48253954,1.14475859468409,140.457029,0.01,413.108929,0.565324505
442.5461944,1.14475561456087,140.99861,0.01,795.311853,0.773131899
453.60984926,1.1447351927385,139.406022,0.01,355.146734,0.494735919
464.67350412,1.14472112732533,139.142031,0.01,379.557682,0.526830548
475.73715898,1.14470917526918,138.83753,0.01,458.056139,0.607713955
486.80081384,1.14469930529603,138.902656,0.01,577.209968,0.688111313
497.8644687,1.14469210811032,137.843343,0.01,2744.34023,0.934604653
508.92812356,1.14467930887511,137.764908,0.01,181.484172,0.01
519.99177842,1.14466956494298,137.579929,0.01,439.576405,0.590965221
531.05543328,1.14466858391298,137.98904,0.01,1843.64668,0.902173536
542.11908814,1.14465907754163,137.326012,0.01,363.61943,0.504269659
553.182743,1.1446496977816,137.2257,0.01,397.123403,0.546026722
564.24639786,1.144641623689,136.868385,0.01,239.393785,0.248193674
575.31005272,1.14463116253398,136.250296,0.01,991.567009,0.818685499
586.37370758,1.14463474077913,135.486138,0.01,735.794621,0.756368651
597.43736244,1.14462106254228,136.175248,0.01,338.999157,0.468384655
608.5010173,1.14461594651083,136.015671,0.01,395.37394,0.544084755
619.56467216,1.1446095389739,135.770522,0.01,225.994141,0.202856739
630.62832702,1.14460742991126,134.689492,0.01,1486.14851,0.879205064
641.69198188,1.14459863261508,135.302959,0.01,302.095696,0.403880156
652.75563674,1.14459279096417,134.979296,0.01,428.477174,0.579718996
663.8192916,1.14458987292002,134.878337,0.01,475.882703,0.621760763
674.88294646,1.14458362362814,134.512517,0.01,560.862423,0.679102557
685.94660132,1.14457975192464,134.263227,0.01,206.203268,0.127457554
697.01025618,1.14462388446127,133.712029,0.01,3949.34448,0.954367717
708.07391104,1.14457349965188,133.816951,0.01,308.053779,0.416506386
