Value,Cost,Param1,Param2,,
216645.46768,1.06214344253167,1.74713209,163.654225,666.408009,0.192468277
218238.44906,1.06215105537611,1.73392997,153.843537,647.613192,0.223742357
219831.43044,1.06214714578958,1.7445396,153.858032,600.500466,0.284631954
221424.41182,0.97623348087573,398.91994,1.33300453,394.504905,0.054951097
223017.3932,0.976238687561057,392.49277,1.33475207,362.788344,0.138427437
224610.37458,0.976240955572414,390.187311,1.32281333,397.385166,0.0677414136
226203.35596,1.07631160316673,1.91785326,515.37587664,365.60630734,0.53462948
227796.33734,1.06216049205201,1.75182474,162.645265,690.508811,0.200584594
229389.31872,0.976233651647233,409.087196,1.34003454,425.041384,0.0140978055
230982.3001,1.06216161261511,1.74949805,155.51805541,467.72557449,0.46811898
232575.28148,1.06215926129671,1.73387089,158.180166,669.020143,0.246619732
234168.26286,1.06213943662816,1.74583852,161.804138,744.405749,0.166848611
235761.24424,1.0621944050079,1.73543808,161.07694446,436.96945411,0.5151095
237354.22562,0.976235564481031,392.917547,1.3301315,297.685404,0.337215781
238947.207,0.976238889357872,405.663579,1.3352838,286.3876,0.36360633
240540.18838,0.97626454134605,400.370511,1.33510085,291.270635,0.356366882
242133.16976,0.976326850436017,382.59095389,1.32708788,168.20929826,0.63268403
243726.15114,0.97634397638613,375.101295,1.32607527,356.537733,0.227755501
245319.13252,1.06214612665655,1.74125075,154.760149,542.839418,0.420453536
246912.1139,1.06217352426253,1.74023015,161.199666,532.524555,0.435818846
248505.09528,0.976267474072257,405.29079609,1.32630083,258.39157432,0.45037621
250098.07666,0.97627848808015,386.40145465,1.33211519,230.28084644,0.51271204
251691.05804,1.06213780580097,1.74023274,155.692572,763.676767,0.206966507
253284.03942,0.97626891127033,399.0548554,1.34080451,212.72843885,0.55433877
254877.0208,0.976247871353824,395.00881186,1.33592382,255.28928787,0.46953929
256470.00218,0.97622869332205,392.857685,1.32959672,359.793708,0.258608621
258062.98356,1.06212727971491,1.73986183,153.881625,724.58727,0.264658835
259655.96494,0.977766609888962,525.854038,1.40696464,436.063518,0.0766438537
261248.94632,1.06214258323859,1.75032318,162.27487,682.511521,0.312063875
