Value,Cost,Param1,Param2,,
0.2386059768,1.14454237122285,131.299355,1067.5695,0.01,237.184065
0.2452339206,1.14464960051916,128.808666,1577.82104,0.01,237.608873
0.2518618644,1.14453876690957,130.795245,1067.13376,0.01,240.453823
0.2584898082,1.13946629599667,1501.99181,54.3733585,0.01,244.733642
0.265117752,1.14454009586471,131.255207,939.703804,0.01,244.478373
0.2717456958,1.13946867470875,1410.01688,54.7695254,0.01,249.565732
0.2783736396,1.14455641454016,129.408991,1182.82637,0.01,248.497887
0.2850015834,1.14459278791697,128.951728,1694.17723,0.01,252.591012
0.2916295272,1.14454214891238,130.195654,1204.34613,0.01,254.508637
0.298257471,1.14455219568549,129.529602,1299.52692,0.01,256.733777
0.3048854148,1.14453917574686,131.015398,1092.19059,0.01,259.570913
0.3115133586,1.1394746386824,1344.26917,54.9780229,0.01,263.178512
0.3181413024,1.13946973792744,1362.84365,54.7689978,0.01,265.848568
0.3247692462,1.14454063874728,130.56284,1020.18321,0.01,266.033984
0.33139719,1.14453591860963,131.178962,1039.52372,0.01,269.577468
0.3380251338,1.14459161422612,128.428409,1335.58128,0.01,270.275154
0.3446530776,1.14459892203961,130.451562,1442.21149,0.01,276.5285
0.3512810214,1.14456957711947,130.57019,1308.66776,0.01,278.71522
0.3579089652,1.14454044096293,132.002485,885.963985,0.01,280.20427
0.364536909,1.14453680889942,130.521313,1064.49046,0.01,282.9748
0.3711648528,1.13946967591802,1395.36665,54.608342,0.01,288.262859
0.3777927966,1.14453976915006,130.248446,1178.09322,0.01,289.598921
0.3844207404,1.14458780486928,128.833414,1580.00246,0.01,292.163519
0.3910486842,1.1394722786297,1355.64791,54.8184489,0.01,297.852359
0.397676628,1.14454149107596,131.179043,1076.35567,0.01,299.770549
0.4043045718,1.14466137436917,127.481043,2267.57096,0.01,301.970553
0.4109325156,1.13946644876742,1490.03184,54.571723,0.01,308.450364
0.4175604594,1.13946792805161,1455.8091,54.7551984,0.01,312.291325
0.4241884032,1.14453461790251,131.0973,1023.57302,0.01,312.759886
