Value,Cost,Param1,Param2,,
1.3613921424,1.10109460839904,84.1640509,42.0401536,10000,0.0336863608
1.3992085908,1.09352556013382,95.7522307,40.0496753,10000,0.0638852387
1.4370250392,1.08659042795063,98.9693659,41.8038069,10000,0.01
1.4748414876,1.08113221779333,105.12339,39.9877779,10000,0.0394198242
1.512657936,1.07644267252624,108.411738,39.6319783,10000,0.0366680373
1.5504743844,1.07258686726241,117.363378,39.0892386,10000,0.036191112
1.5882908328,1.06959629394362,117.36872,37.8174889,10000,0.0550241066
1.6261072812,1.06725238697265,133.656352,36.3906739,10000,0.0776276241
1.6639237296,1.06533308854193,138.852906,38.0910211,10000,0.0199137527
1.701740178,1.06416109458349,140.631475,37.3669244,10000,0.027747839
1.7395566264,1.06354887659171,149.903331,35.9595291,10000,0.0505160016
1.7773730748,1.06336539461776,157.025069,34.9504151,10000,0.0657847181
1.8151895232,1.06357107855038,166.067114,35.4787951,10000,0.0419842873
1.8530059716,1.06421353342802,169.361883,34.0080945,10000,0.0695288769
1.89082242,1.06518145556817,185.199582,32.7995237,10000,0.0898006741
1.9286388684,1.06643358255921,187.318414,23.2583355,8313.39926,0.2122318
1.9664553168,1.06772191816003,188.039818,14.0228771,9043.81113,0.555279385
2.0042717652,1.06897374063084,188.315136,9.85648942,3731.79468,0.227562757
2.0420882136,1.07018524740901,189.183115,7.47083609,3140.88348,0.291632223
2.079904662,1.07136438787618,190.067551,6.17361477,3614.14018,0.482254616
2.1177211104,1.07250935402946,187.452342,5.03466755,2722.22737,0.429488844
2.1555375588,1.07362135762884,186.409734,4.45987953,3393.41528,0.58739382
2.1933540072,1.07470646974043,193.978408,3.98045725,1281.71155,0.01
2.2311704556,1.07575147683004,189.083388,3.52399565,2393.11631,0.52184166
2.268986904,1.07677170754706,191.553722,3.1512261,1665.2815,0.374755783
2.3068033524,1.07775928636009,190.41406,2.84922473,1600.21747,0.402562368
2.3446198008,1.07873246786751,190.741379,2.63109382,1113.89615,0.193678087
2.3824362492,1.07966867087965,194.255385,2.45004379,1541.30818,0.449990209
2.4202526976,1.0805876678518,192.918197,2.30431632,2294.84526,0.64720381
