environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.7439404760512
0.002,-47.7198236195303
0.003,-47.7031417858906
0.004,-47.6895922802815
0.005,-47.6769672642695
0.006,-47.6640501867243
0.007,-47.6501753106894
0.008,-47.6349946992315
0.009,-47.6183461815492
0.01,-47.600175484423
0.011,-47.5804916500417
0.012,-47.5593399022975
0.013,-47.5367842967159
0.014,-47.5128990747699
0.015,-47.4877630911837
0.016,-47.4614555140501
0.017,-47.4340535930132
0.018,-47.4056306624288
0.019,-47.3762568977989
0.02,-47.3459988615633
0.021,-47.3149190330607
0.022,-47.2830758069163
0.023,-47.2505232429588
0.024,-47.217311286731
0.025,-47.1834862827277
0.026,-47.1490911528392
0.027,-47.1141656332449
0.028,-47.0787463837073
0.029,-47.042867092211
0.03,-47.0065588196854
0.031,-46.9698498927638
0.032,-46.9327667041238
0.033,-46.8953329993261
0.034,-46.8575709242966
0.035,-46.8195006163147
0.036,-46.78114049817
0.037,-46.7425074898061
0.038,-46.7036170122287
0.039,-46.6644829453081
0.04,-46.6251180834976
0.041,-46.5855337652396
0.042,-46.5457403690449
0.043,-46.5057471458195
0.044,-46.4655624223367
0.045,-46.4251936154975
0.046,-46.3846473439466
0.047,-46.3439294525166
0.048,-46.3030450169941
0.049,-46.2619985236982
0.05,-46.2207936912428
0.051,-46.1794337519983
0.052,-46.1379212358052
0.053,-46.0962582753749
0.054,-46.0544465272761
0.055,-46.0124870481545
0.056,-45.9703805108141
0.057,-45.928127371813
0.058,-45.8857276400587
0.059,-45.8431805689384
0.06,-45.8004856310694
0.061,-45.7576418660177
0.062,-45.7146475977754
0.063,-45.6715010941963
0.064,-45.6282004533163
0.065,-45.5847433873327
0.066,-45.5411272244386
0.067,-45.4973492221143
0.068,-45.4534063463924
0.069,-45.4092952151413
0.07,-45.3650123252467
0.071,-45.3205539492218
0.072,-45.2759160918402
0.073,-45.231094495577
0.074,-45.186084803169
0.075,-45.1408824236454
0.076,-45.0954824148897
0.077,-45.0498797912006
0.078,-45.0040693215921
0.079,-44.9580455081325
0.08,-44.9118026335717
0.081,-44.8653348423207
0.082,-44.8186360330342
0.083,-44.7716997906869
0.084,-44.7245195901239
0.085,-44.6770886490459
0.086,-44.6293998573722
0.087,-44.5814459256342
0.088,-44.5332193739541
0.089,-44.4847124674727
0.09,-44.4359172414124
0.091,-44.3868254479094
0.092,-44.3374280759628
0.093,-44.2877165974005
0.094,-44.237681951461
0.095,-44.1873148187343
0.096,-44.1366056195792
0.097,-44.0855438783466
0.098,-44.0341187638402
0.099,-43.9823199757097
0.1,-43.9301364568053
0.101,-43.8775568101552
0.102,-43.8245692923177
0.103,-43.7711606913782
0.104,-43.7173186600396
0.105,-43.6630301337643
0.106,-43.6082815297389
0.107,-43.5530588211309
0.108,-43.4973471569151
0.109,-43.4411304233432
0.11,-43.3843934296231
0.111,-43.327119824585
0.112,-43.2692926803632
0.113,-43.2108944755162
0.114,-43.1519057889819
0.115,-43.0923073524654
0.116,-43.0320796542457
0.117,-42.9712020224337
0.118,-42.9096530042888
0.119,-42.8474101780578
0.12,-42.7844479348917
0.121,-42.7207429536696
0.122,-42.6562697006639
0.123,-42.5910016116976
0.124,-42.5249110582222
0.125,-42.4579677977584
0.126,-42.390139972927
0.127,-42.3213968006114
0.128,-42.2517049836775
0.129,-42.1810298058526
0.13,-42.1093350842783
0.131,-42.0365771363645
0.132,-41.9627169562198
0.133,-41.8877124695509
0.134,-41.8115189925207
0.135,-41.7340897775364
0.136,-41.6553750540509
0.137,-41.5753192624358
0.138,-41.4938677357936
