environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.7454944218094
0.002,-47.7252182696758
0.003,-47.7138051062521
0.004,-47.7064350109383
0.005,-47.7005856389391
0.006,-47.6948469742586
0.007,-47.6884327057949
0.008,-47.6809185349278
0.009,-47.672093066102
0.01,-47.661869585674
0.011,-47.6502353563255
0.012,-47.6372206662283
0.013,-47.6228789801167
0.014,-47.6072769668193
0.015,-47.5904880189591
0.016,-47.5725872374987
0.017,-47.5536488517124
0.018,-47.5337437972333
0.019,-47.512940489251
0.02,-47.4913042554166
0.021,-47.4688966977842
0.022,-47.4457755611305
0.023,-47.4219945153738
0.024,-47.3976032777913
0.025,-47.3726481766559
0.026,-47.3471723005363
0.027,-47.3212156556373
0.028,-47.2948153271637
0.029,-47.2680055360975
0.03,-47.2408179636103
0.031,-47.2132816950702
0.032,-47.1854239508698
0.033,-47.1572693730951
0.034,-47.1288412558668
0.035,-47.1001607377106
0.036,-47.0712475127616
0.037,-47.0421198004935
0.038,-47.0127943028867
0.039,-46.9832864357451
0.04,-46.9536104227812
0.041,-46.9237792240858
0.042,-46.8938048498493
0.043,-46.8636982850683
0.044,-46.8334696487644
0.045,-46.8031282245379
0.046,-46.7726825948654
0.047,-46.7421405253416
0.048,-46.7115092520063
0.049,-46.6807952866969
0.05,-46.6500046077598
0.051,-46.6191426259986
0.052,-46.5882142438544
0.053,-46.5572239855437
0.054,-46.5261759297002
0.055,-46.4950735642801
0.056,-46.4639203359
0.057,-46.43271933606
0.058,-46.4014729740039
0.059,-46.3701836698735
0.06,-46.3388536720652
0.061,-46.3074848014999
0.062,-46.2760783699389
0.063,-46.2446359141026
0.064,-46.2131586311105
0.065,-46.1816473084
0.066,-46.1501027742857
0.067,-46.1185256387207
0.068,-46.0869163120188
0.069,-46.0552750426227
0.07,-46.0236020125766
0.071,-45.9918972575437
0.072,-45.9601605956597
0.073,-45.9283918600573
0.074,-45.8965907558295
0.075,-45.8647568174925
0.076,-45.8328895142118
0.077,-45.800988278373
0.078,-45.7690524255523
0.079,-45.7370811148246
0.08,-45.7050735336785
0.081,-45.6730287689564
0.082,-45.6409457373131
0.083,-45.6088233829205
0.084,-45.5766605935348
0.085,-45.5444561978134
0.086,-45.5122089836066
0.087,-45.4799175188748
0.088,-45.4475803996642
0.089,-45.415196307063
0.09,-45.3827638172393
0.091,-45.3502814795638
0.092,-45.3177476554039
0.093,-45.2851605330577
0.094,-45.2525186396462
0.095,-45.2198203083835
0.096,-45.1870638430764
0.097,-45.1542474620773
0.098,-45.1213690509734
0.099,-45.0884269057302
0.1,-45.0554191109694
0.101,-45.0223437126657
0.102,-44.9891987193456
0.103,-44.9559819045101
0.104,-44.922691234169
0.105,-44.8893245549054
0.106,-44.8558796634429
0.107,-44.8223543120994
0.108,-44.7887461739693
0.109,-44.7550529021085
0.11,-44.7212721105676
0.111,-44.687401358675
0.112,-44.6534381593539
0.113,-44.619379923978
0.114,-44.5852240211132
0.115,-44.5509678420562
0.116,-44.5166086938634
0.117,-44.4821438360044
0.118,-44.4475704805113
0.119,-44.4128857921278
0.12,-44.3780868884591
0.121,-44.3431706915752
0.122,-44.3081338121306
0.123,-44.2729734404477
0.124,-44.2376864245972
0.125,-44.2022695567819
0.126,-44.1667195731159
0.127,-44.1310331534033
0.128,-44.0952069209163
0.129,-44.0592373916803
0.13,-44.0231198582671
0.131,-43.9868513780752
0.132,-43.9504281854677
0.133,-43.9138464369209
0.134,-43.8771022097433
0.135,-43.8401915007943
0.136,-43.8031102252025
0.137,-43.7658542150846
0.138,-43.7284185484732
0.139,-43.690799021848
0.14,-43.6529912260752
0.141,-43.6149905315559
0.142,-43.576792205153
0.143,-43.5383914081769
0.144,-43.499783194372
0.145,-43.4609625079034
0.146,-43.4219233802517
0.147,-43.3826601805258
0.148,-43.3431677842923
0.149,-43.3034404753691
0.15,-43.263472393148
0.151,-43.2232575292805
0.152,-43.1827897243635
0.153,-43.1420626646248
0.154,-43.1010696617057
0.155,-43.0598035894937
0.156,-43.0182577945738
0.157,-42.9764251338992
0.158,-42.9342982635464
0.159,-42.8918696332813
0.16,-42.849131353925
0.161,-42.8060749834534
0.162,-42.7626924545359
0.163,-42.7189751944068
0.164,-42.674914373041
0.165,-42.6305008960341
0.166,-42.5857252947784
0.167,-42.5405772803489
0.168,-42.4950471154793
0.169,-42.4491244014648
0.17,-42.4027984104827
0.171,-42.3560580764217
0.172,-42.3088919582722
0.173,-42.2612879015215
0.174,-42.2132338885015
0.175,-42.1647173142124
0.176,-42.1157251738386
0.177,-42.0662440524791
0.178,-42.0162601102579
0.179,-41.9657565090232
0.18,-41.9147193519232
0.181,-41.8631329081535
0.182,-41.8109808892198
0.183,-41.7582464318779
0.184,-41.7049120810722
0.185,-41.6509580124538
0.186,-41.596365452624
0.187,-41.5411144024556
