environment | time (second),hrv | V (millivolt)
0,-47.787168
0.0001,-47.7823597259575
0.0002,-47.7778671683157
0.0003,-47.7739036179514
0.0004,-47.7703787867221
0.0005,-47.7672275267535
0.0006,-47.7644003395945
0.0007,-47.7618580684752
0.0008,-47.7595690693903
0.0009,-47.7575070954333
0.001,-47.755650025608
0.0011,-47.7539789250948
0.0012,-47.7524774012685
0.0013,-47.751131096464
0.0014,-47.7499273181045
0.0015,-47.748854760602
0.0016,-47.7479032753962
0.0017,-47.7470636886937
0.0018,-47.7463276644115
0.0019,-47.7456875893375
0.002,-47.7451364769414
0.0021,-47.7446678865165
0.0022,-47.7442758611949
0.0023,-47.7439548826746
0.0024,-47.7436998203949
0.0025,-47.7435058919283
0.0026,-47.7433686295368
0.0027,-47.7432838523124
0.0028,-47.7432476423257
0.0029,-47.7432563236704
0.003,-47.7433064451639
0.0031,-47.7433947584623
0.0032,-47.7435182126636
0.0033,-47.7436739218591
0.0034,-47.7438591780587
0.0035,-47.7440714152818
0.0036,-47.7443082277825
0.0037,-47.7445673366083
0.0038,-47.7448465951285
0.0039,-47.7451439761249
0.004,-47.7454575646088
0.0041,-47.7457855610837
0.0042,-47.7461262552367
0.0043,-47.7464780249613
0.0044,-47.7468393697086
0.0045,-47.7472088403941
0.0046,-47.7475850550056
0.0047,-47.7479667513723
0.0048,-47.7483527237762
0.0049,-47.7487418005709
0.005,-47.7491329089492
0.0051,-47.7495250526433
0.0052,-47.7499172538737
0.0053,-47.7503086059461
0.0054,-47.7506982617128
0.0055,-47.751085409104
0.0056,-47.7514692864874
0.0057,-47.7518491883093
0.0058,-47.7522244341192
0.0059,-47.7525943858004
0.006,-47.7529584570125
0.0061,-47.7533160800361
0.0062,-47.753666723598
0.0063,-47.7540098977581
0.0064,-47.7543451337256
0.0065,-47.7546719902533
0.0066,-47.7549900598761
0.0067,-47.7552989580968
0.0068,-47.7555983204632
0.0069,-47.7558878108663
0.007,-47.7561671169238
0.0071,-47.7564359408405
0.0072,-47.7566940080966
0.0073,-47.7569410665062
