environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.7275667453896
0.002,-47.6628778119491
0.003,-47.5902446109082
0.004,-47.5105531930885
0.005,-47.4246614890498
0.006,-47.3331701462556
0.007,-47.2364892473755
0.008,-47.1349018270839
0.009,-47.0286055373281
0.01,-46.9177375264195
0.011,-46.8023897802586
0.012,-46.6826182343601
0.013,-46.5584485211366
0.014,-46.4298789768288
0.015,-46.2968821555491
0.016,-46.1594056720629
0.017,-46.0173725956968
0.018,-45.8706808535983
0.019,-45.7192018994191
0.02,-45.5627796185661
0.021,-45.4012278832082
0.022,-45.2343312762015
0.023,-45.0618380243898
0.024,-44.8834598503851
0.025,-44.6988682502355
0.026,-44.5076847579542
0.027,-44.309482318434
0.028,-44.1037746209444
0.029,-43.8900028054046
0.03,-43.6675392551345
0.031,-43.4356639661239
0.032,-43.1935567630567
0.033,-42.9402684795251
0.034,-42.6747042411768
0.035,-42.3955967148962
0.036,-42.1014709434493
0.037,-41.7905987928639
0.038,-41.4609393865215
0.039,-41.1100623084482
0.04,-40.7350604037349
0.041,-40.3324070588498
0.042,-39.897734492048
0.043,-39.4256197347502
0.044,-38.9092094524498
0.045,-38.3396906331371
0.046,-37.7054830600692
0.047,-36.99089136127
0.048,-36.1741378888488
0.049,-35.2239110650936
0.05,-34.0928139730477
0.051,-32.705304718136
0.052,-30.9317007406037
0.053,-28.5284357743213
0.054,-24.9915191137097
0.055,-19.2984079432121
0.056,-10.658106638757
0.057,-1.41675695377135
0.058,5.76280258688949
0.059,10.8116536975894
0.06,14.3912229965173
0.061,16.9972171649762
0.062,18.9446686192105
0.063,20.4373512483678
0.064,21.61009156113
0.065,22.5534631154175
0.066,23.3290365038771
0.067,23.9790834719614
0.068,24.5328782822945
0.069,25.0108509336146
0.07,25.4273625012714
0.071,25.7925968487446
0.072,26.113863002369
0.073,26.3964821155252
0.074,26.6444085183427
0.075,26.8606460496539
0.076,27.0475578269906
0.077,27.2070528253379
0.078,27.3407253528298
0.079,27.4499498555513
0.08,27.5359511466135
0.081,27.5998307301993
0.082,27.6426006854863
0.083,27.6652086979337
0.084,27.6685478056607
0.085,27.653463815667
0.086,27.6207621925657
0.087,27.5712117593349
0.088,27.5055469901281
0.089,27.4244708798553
0.09,27.3286564658468
0.091,27.2187475299794
0.092,27.0953592653293
0.093,26.9590789919657
0.094,26.8104669676671
0.095,26.6500568082907
0.096,26.4783557866573
0.097,26.2958457155692
0.098,26.1029835696944
0.099,25.9002013886812
0.1,25.6879056971693
0.101,25.466477883347
0.102,25.2362788951105
0.103,24.9976469525235
0.104,24.7508941299799
0.105,24.4963147094975
0.106,24.2341804618376
0.107,23.9647427769697
0.108,23.68823402828
0.109,23.4048668449169
0.11,23.1148363899968
0.111,22.8183199169124
0.112,22.5154771778024
0.113,22.2064523738791
0.114,21.8913764966687
0.115,21.5703660245295
0.116,21.243523372608
0.117,20.9109378491863
0.118,20.5726854710507
0.119,20.2288318208913
0.12,19.8794317566155
0.121,19.5245335038439
0.122,19.1641704057307
0.123,18.7983697020804
0.124,18.4271472591662
0.125,18.0505126922434
0.126,17.6684664479655
0.127,17.2810038716445
0.128,16.8881125853511
0.129,16.4897746375359
0.13,16.0859662742437
0.131,15.6766575858115
0.132,15.2618138909659
0.133,14.8413952313462
0.134,14.4153569687308
0.135,13.9836503980832
0.136,13.5462222495577
0.137,13.1030161468259
0.138,12.6539707035593
0.139,12.1990228384706
0.14,11.7381045671783
0.141,11.2711450811706
0.142,10.7980724429846
0.143,10.3188102209106
0.144,9.83328036399571
0.145,9.34140250754775
0.146,8.84309417161246
0.147,8.33827081186942
0.148,7.82684639567786
0.149,7.30873170183461
0.15,6.78383550619846
0.151,6.2520654110054
0.152,5.71332865327767
0.153,5.16752982205722
0.154,4.61457120616159
0.155,4.05435278695236
0.156,3.48677353741781
0.157,2.91172587264181
0.158,2.32910189631688
0.159,1.7387887575569
0.16,1.14066892581285
0.161,0.534621017050085
0.162,-0.0794833282857937
0.163,-0.701779489717265
0.164,-1.33241540998123
0.165,-1.97154976034808
0.166,-2.6193540022062
0.167,-3.2760152288961
0.168,-3.94174037093314
0.169,-4.61675985559309
0.17,-5.30133151485595
0.171,-5.99574571309328
0.172,-6.70033168290508
0.173,-7.41546482418415
0.174,-8.14157367076495
0.175,-8.87915104587626
0.176,-9.62876522280569
0.177,-10.3910743621286
0.178,-11.166837790596
0.179,-11.9569340263286
0.18,-12.762384335586
0.181,-13.5843683389466
0.182,-14.4242494357417
0.183,-15.2835995079625
0.184,-16.1642183981231
0.185,-17.0681562924673
0.186,-17.9977385484629
0.187,-18.9555574273384
0.188,-19.9444422368446
0.189,-20.9674260096978
0.19,-22.0276391571551
0.191,-23.1280017729982
0.192,-24.2709993753687
0.193,-25.4582675502806
0.194,-26.6901719979622
0.195,-27.9654665951582
0.196,-29.2810839548316
0.197,-30.6321227166687
0.198,-32.0120282396759
0.199,-33.4129176451033
0.2,-34.8259796373861
0.201,-36.2418817519008
0.202,-37.6511404989607
0.203,-39.0444149702207
0.204,-40.4127901379168
0.205,-41.7479516618369
0.206,-43.0423516627192
0.207,-44.2893130168799
0.208,-45.4831378208171
0.209,-46.6191558558122
0.21,-47.693767717565
0.211,-48.7044436936952
0.212,-49.6496958666798
0.213,-50.5290193627367
0.214,-51.3428090129279
0.215,-52.0922549680666
0.216,-52.7792263153085
0.217,-53.4061476490247
0.218,-53.9758754234322
0.219,-54.4915925158596
0.22,-54.9566434571907
0.221,-55.3745698077558
0.222,-55.7487827434667
0.223,-56.0828239398052
0.224,-56.3800235264853
0.225,-56.6436060407653
0.226,-56.8766079485673
0.227,-57.0818567432229
0.228,-57.2620194702657
0.229,-57.419519780598
0.23,-57.5566066281191
0.231,-57.675311146489
0.232,-57.7774756447432
0.233,-57.8647707909334
0.234,-57.9386995039732
0.235,-58.0006090794333
0.236,-58.0517060133557
0.237,-58.0930693395716
0.238,-58.1256609916381
0.239,-58.1503371420462
0.24,-58.1678602540182
0.241,-58.1789094035283
0.242,-58.1840885766902
0.243,-58.1839341717909
0.244,-58.178922424579
0.245,-58.1694767188124
0.246,-58.1559675558796
0.247,-58.1387304778974
0.248,-58.1180710620038
0.249,-58.0942575482262
0.25,-58.0675265629722
0.251,-58.0380939697724
0.252,-58.0061465122448
0.253,-57.9718537006605
0.254,-57.935366314639
0.255,-57.8968204194503
0.256,-57.8563408653809
0.257,-57.8140386149592
0.258,-57.7700152153031
0.259,-57.7243627208825
0.26,-57.6771648349126
0.261,-57.6284977031394
0.262,-57.5784307532455
0.263,-57.5270274314794
0.264,-57.4743460565483
0.265,-57.4204404347245
0.266,-57.3653607471587
0.267,-57.3091532491908
0.268,-57.2518616839971
0.269,-57.1935262630235
0.27,-57.1341851863097
0.271,-57.0738739207161
0.272,-57.0126261164621
0.273,-56.9504735007176
0.274,-56.887446296657
0.275,-56.8235732162328
0.276,-56.7588819182317
0.277,-56.6933986545279
0.278,-56.6271489453258
0.279,-56.5601568515089
0.28,-56.4924461415033
0.281,-56.4240399883572
0.282,-56.3549597292303
0.283,-56.2852275057237
0.284,-56.2148648838979
0.285,-56.1438914056988
0.286,-56.0723276682928
0.287,-56.0001937965303
0.288,-55.9275084375376
0.289,-55.8542906781592
0.29,-55.7805593130911
0.291,-55.7063323974311
0.292,-55.6316278949187
0.293,-55.556463561697
0.294,-55.4808567780895
0.295,-55.4048247310102
0.296,-55.3283844331958
0.297,-55.2515525407882
0.298,-55.1743455346394
0.299,-55.0967797833623
0.3,-55.0188712415026
0.301,-54.940635632914
0.302,-54.8620885984035
0.303,-54.7832453702408
0.304,-54.7041208824533
0.305,-54.6247299231182
0.306,-54.5450869197665
0.307,-54.4652059828519
0.308,-54.3851009708177
0.309,-54.3047854041466
0.31,-54.2242724719444
0.311,-54.1435750471385
0.312,-54.0627056095061
0.313,-53.98167622526
0.314,-53.9004986914712
0.315,-53.8191843966595
0.316,-53.7377443476622
0.317,-53.6561887974205
0.318,-53.5745278595137
0.319,-53.492771223
0.32,-53.410928073352
0.321,-53.3290070715349
0.322,-53.247016064437
0.323,-53.1649628449492
0.324,-53.0828545121522
0.325,-53.0006976252576
0.326,-52.918498110085
0.327,-52.8362613210845
0.328,-52.7539920963804
0.329,-52.6716946288361
0.33,-52.5893724889165
0.331,-52.5070287237538
0.332,-52.4246656113369
0.333,-52.3422848076555
0.334,-52.2598872999388
0.335,-52.1774735796402
0.336,-52.0950438040301
0.337,-52.0125968681645
0.338,-51.9301312298457
0.339,-51.8476446663989
0.34,-51.7651343216667
0.341,-51.6825966143901
