environment | time (second),hrv | V (millivolt)
0,-47.787168
0.0001,-47.7802065839946
0.0002,-47.7725722728356
0.0003,-47.7645246558127
0.0004,-47.7560184131302
0.0005,-47.7470305588437
0.0006,-47.7375518484049
0.0007,-47.7275808764449
0.0008,-47.717121848703
0.0009,-47.7061823113009
0.001,-47.6947720751875
0.0011,-47.6829023749471
0.0012,-47.670585320235
0.0013,-47.6578334731082
0.0014,-47.6446595735815
0.0015,-47.6310763232523
0.0016,-47.6170962411949
0.0017,-47.6027315640247
0.0018,-47.5879941661584
0.0019,-47.5728955080503
0.002,-47.5574466060003
0.0021,-47.5416580144213
0.0022,-47.5255398131857
0.0023,-47.5091016041692
0.0024,-47.4923525165154
0.0025,-47.4753012174914
0.0026,-47.4579559202756
0.0027,-47.4403244005678
0.0028,-47.4224140068438
0.0029,-47.4042316764044
0.003,-47.3857839509809
0.0031,-47.3670769934392
0.0032,-47.3481166047019
0.0033,-47.3289082392836
0.0034,-47.3094570201216
0.0035,-47.2897677567224
0.0036,-47.2698449542663
0.0037,-47.2496928373121
0.0038,-47.2293153511334
0.0039,-47.208716187323
0.004,-47.187898787394
0.0041,-47.1668663613031
0.0042,-47.1456218923837
0.0043,-47.1241681515077
0.0044,-47.1025077080541
0.0045,-47.0806429375626
0.0046,-47.0585760259301
0.0047,-47.0363089810656
0.0048,-47.0138436613747
0.0049,-46.9911817753724
0.005,-46.968324861422
0.0051,-46.9452742328543
0.0052,-46.9220312177583
0.0053,-46.8985969840953
0.0054,-46.874972601374
0.0055,-46.8511588435874
0.0056,-46.8271565428641
0.0057,-46.8029663747339
0.0058,-46.7785888737535
0.0059,-46.7540244847174
0.006,-46.7292735497885
0.0061,-46.7043363339611
0.0062,-46.6792130060765
0.0063,-46.6539036407763
0.0064,-46.6284082402626
0.0065,-46.602726732991
0.0066,-46.5768589763954
0.0067,-46.5508047230752
0.0068,-46.5245636351216
0.0069,-46.4981353767069
0.007,-46.4715195351431
0.0071,-46.444715650074
0.0072,-46.4177230367906
