Value,Cost,Param1,Param2
748.3656037136,0.016960469107332714,723.11455081,8.05659411
753.8682919761999,0.016958413721523576,725.85624397,8.01290435
759.3709802387999,0.01695895203548772,724.74203894,7.94919537
764.8736685014,0.01695847644318884,725.40321673,7.89484241
770.376356764,0.016960138915040435,723.51818777,7.82549729
775.8790450265999,0.01696450168454579,728.51052531,7.8064221
781.3817332891999,0.01695900079577013,727.30714422,7.73700255
786.8844215518,0.01695865844269556,727.174343,7.68349939
792.3871098144,0.01695942085031178,727.84304139,7.63236752
797.8897980769999,0.016961454194321435,725.75313346,7.57456884
803.3924863395999,0.016959147416955152,724.77908758,7.51076346
808.8951746022,0.016959887711064197,723.40106398,7.45427461
814.3978628647999,0.016960397952921376,725.63080729,7.41186632
819.9005511273999,0.016960257080725998,725.29663992,7.36763621
825.40323939,0.01695886905548652,727.34910836,7.32505992
830.9059276526,0.016960178393088485,728.28664601,7.28022018
836.4086159151999,0.01696035445120651,725.0226323,7.21382377
841.9113041777999,0.01695986829289581,724.55353386,7.16503399
847.4139924404,0.01695887564417514,724.84883357,7.12150844
852.9166807029999,0.01696275809638458,722.64474003,7.06175117
858.4193689655999,0.01696241142816074,728.38174673,7.05385023
863.9220572282,0.0169592776850093,727.59418535,7.00215995
869.4247454908,0.01695870150079649,725.17973149,6.94298431
874.9274337534,0.01695939426607207,725.83544967,6.90617492
880.4301220159999,0.016962282387184394,728.53806326,6.87806806
885.9328102786,0.016959921202929742,724.90709465,6.81048007
891.4354985411999,0.016965005927979882,725.61028607,6.7683901
896.9381868037999,0.01695902535141161,725.7260243,6.73564126
902.4408750663999,0.01696199481318191,729.62932553,6.71400813
