Value,Cost,Param1,Param2
5.267823465599999,0.025444348767020477,561.96301187,1000.0
5.4141518952,0.02220375914877541,592.6365098,1000.0
5.560480324799999,0.01986222025744314,623.51142588,1000.0
5.7068087544,0.018283943976050553,654.55026788,1000.0
5.8531371839999995,0.01735441331053202,685.7636828,1000.0
5.9994656136,0.01697674693370298,717.09651124,1000.0
6.1457940432,0.01696044460464311,726.38533628,983.72364269
6.2921224728,0.01696120183583904,728.66100632,962.35164091
6.4384509024,0.016959557598900048,728.34528086,939.93128391
6.584779332,0.016969269008893516,731.3220275,920.23728301
6.7311077616,0.016958787700133402,727.12442333,898.0739696
6.877436191199999,0.016961066264482006,723.36784443,876.33556618
7.0237646208,0.016959450592997256,728.13839139,861.52485524
7.1700930504,0.016962753215654994,730.01072459,844.68296351
7.31642148,0.016960233324427757,723.89034303,824.6712167
7.462749909599999,0.016958800175687305,724.97006408,808.74261691
7.6090783392,0.01695877622738592,726.93786,794.3189329
7.7554067688,0.01695875582048019,724.83776257,778.34466016
7.9017351984,0.01695841365455952,725.62943752,764.312398
8.048063628,0.01695955696292517,726.14969696,750.98404809
8.1943920576,0.01695892172709478,727.58160732,738.00904708
8.3407204872,0.016958797985729496,725.45549529,723.82533035
8.4870489168,0.01695909737013927,724.89950947,711.03671413
8.6333773464,0.01695862360200754,726.3188195,700.00248822
8.779705776,0.01695955847183893,724.51904583,687.10338646
8.9260342056,0.01695951985068186,727.58015652,677.36346967
9.0723626352,0.01695899368389157,727.52628794,666.69371874
9.2186910648,0.016958498530667252,725.53556793,655.13098084
9.3650194944,0.016959757286102536,728.54132257,646.29381064
