Value,Cost,Param1,Param2
606.6423942399999,391.12760156724113,0.071614392,0.01,10000.0,0.01
611.10300008,392.28754065535077,0.0598479695,0.0599162361,10000.0,0.01
615.56360592,395.0282999290748,0.01,0.01,10000.0,0.01
620.02421176,396.5019422342964,0.01,0.01,10000.0,0.01
624.4848175999999,397.7906072635469,0.01,0.0949816871,10000.0,0.01
628.94542344,399.3333148361668,0.01,0.0340122684,10000.0,0.01
633.40602928,399.8915800714294,0.0657576628,0.01,10000.0,0.0100007558
637.86663512,402.24971575831916,0.01,0.01,10000.0,0.01
642.3272409599999,403.34689134007095,0.01,0.0901554511,10000.0,0.01
646.7878468,405.0383732344478,0.01,0.01,10000.0,0.01
651.24845264,406.0440907339131,0.01,0.0878107568,10000.0,0.01
655.70905848,406.7990871012847,0.0610347202,0.01,10000.0,0.01
660.1696643199999,409.11921369169244,0.01,0.01,10000.0,0.01
664.63027016,410.45300356342386,0.01,0.01,10000.0,0.01
669.090876,411.29634526660766,0.01,0.0763238474,10000.0,0.01
673.55148184,413.08193384808555,0.01,0.01,10000.0,0.01
678.0120876799999,414.3774258015583,0.01,0.01,10000.0,0.01
682.47269352,415.1145859277921,0.01,0.0728220871,10000.0,0.01
686.93329936,416.8555279233077,0.01,0.01,10000.0,0.01
691.3939052,417.6010624781995,0.01,0.0705758525,10000.0,0.01
695.8545110399999,419.27719315251227,0.01,0.01,10000.0,0.01
700.31511688,420.0553217073459,0.01,0.0551925076,10000.0,0.01
704.77572272,421.65492899708175,0.01,0.01,10000.0,0.01
709.23632856,422.8276755649014,0.01,0.01,10000.0,0.01
713.6969343999999,423.9929597856255,0.01,0.01,10000.0,0.01
718.15754024,425.15106837631697,0.01,0.01,10000.0,0.01
722.61814608,426.06764808144885,0.0282966598,0.01,10000.0,0.01
727.07875192,427.46642229834686,0.01,0.01,10000.0,0.01
731.53935776,428.5513095525895,0.01,0.0324089214,10000.0,0.01
